"","category","title","writer","article"
"1","정치","[사진]국회 현안보고하는 통일부장관","머니투데이","[머니투데이 홍봉진 기자] 김연철 통일부 장관이 3일 오후 서울 여의도 국회에서 열린 외교통일위원회 전체회의에서 현안보고하고 있 …"
"2","정치","나경원, 내일 교섭단체 대표연설…‘협치기반 정상국회’ 역설","헤럴드경제","[헤럴드경제=이명수 기자] 자유한국당 나경원 원내대표가 4일 국회 교섭단체 대표연설에 나선다. 연합뉴스에 따르면, 나 원내대표가 …"
"3","정치","김정은, 판문점서 文 대통령에게 ‘중요한 얘기’ 했다","국민일보","김정은 북한 국무위원장이 지난달 30일 판문점에서 이뤄진 남·북·미 정상 회동 당시 문재인 대통령에게 감사 인사를 넘어서는 중요 …"
"4","정치","[사진]현안보고하는 김연철 장관","머니투데이","[머니투데이 홍봉진 기자] 김연철 통일부 장관이 3일 오후 서울 여의도 국회에서 열린 외교통일위원회 전체회의에서 현안보고하고 있 …"
"5","정치","한국당 北 추정 해킹조직에 사이버공격 당했다","시사저널","송희경 의원 북한, 앞에서는 핵개발 뒤에서는 끊임없는 사이버 공격 자행 국회 과학기술정보방송통신위원회 소속 송희경 자유한국당 …"
"6","정치","강경화 日 수출규제 불합리하고 상식에 반하는 보복 조치","뉴시스","【서울=뉴시스】강수윤 기자 = 강경화 외교부 장관은 3일 일본 정부의 한국에 대한 수출 규제 조치와 관련, 불합리하고 상식에  …"
"7","정치","외교통일위원회 전체회의에 놓인 결의안","연합뉴스","(서울=연합뉴스) 이진욱 기자 = 3일 국회에서 열린 외교통일위원회 전체회의에서 민주평화당 김광수 의원이 제출한 강제징용 피해자 …"
"8","정치","외교통일위원회 전체회의에 놓인 결의안","연합뉴스","(서울=연합뉴스) 이진욱 기자 = 3일 국회에서 열린 외교통일위원회 전체회의에서 민주평화당 김광수 의원이 제출한 강제징용 피해자 …"
"9","정치","[사진]외통위 전체회의 답변하는 강경화","머니투데이","[머니투데이 홍봉진 기자] 강경화 외교부 장관이 3일 오후 서울 여의도 국회에서 열린 외교통일위원회 전체회의에서 답변하고 있다. …"
"10","정치","[게시판] 한-인도네시아, 내일 자카르타서 방산 세미나","연합뉴스","▲ 외교부는 4일 인도네시아 자카르타에서 조코 위도도 정부 2기 출범을 앞두고 한-인도네시아 방산 세미나를 열어 양국간 방산 협 …"
"11","정치","북·미, 다음달 방콕 ARF에서 고위급회동 갖나","경향신문","북한과 미국이 다음달초 태국 방콕에서 열리는 아세안지역안보포럼(ARF) 외교장관회의를 계기로 고위급 회동을 가질 수도 있다는 관 …"
"12","정치","[사진]답변하는 강경화","머니투데이","[머니투데이 홍봉진 기자] 강경화 외교부 장관이 3일 오후 서울 여의도 국회에서 열린 외교통일위원회 전체회의에서 답변하고 있다. …"
"13","정치","고심하는 강경화 외교부 장관","뉴스1","(서울=뉴스1) 이종덕 기자 = 강경화 외교부장관이 3일 오후 서울 여의도 국회 외교통일위원회 전체회의에 출석해 의원 질의를 경 …"
"14","정치","생각에 잠긴 강경화 장관","뉴스1","(서울=뉴스1) 이종덕 기자 = 강경화 외교부장관이 3일 오후 서울 여의도 국회 외교통일위원회 전체회의에 출석해 의원 질의를 경 …"
"15","정치","국회에서 질책 받는 외교통일 수장","뉴스1","(서울=뉴스1) 이종덕 기자 = 강경화 외교부장관과 김연철 통일부장관이 3일 오후 서울 여의도 국회 외교통일위원회 전체회의에 출 …"
"16","정치","답변하는 강경화 외교부 장관","뉴스1","(서울=뉴스1) 이종덕 기자 = 강경화 외교부장관이 3일 오후 서울 여의도 국회 외교통일위원회 전체회의에 출석해 의원들의 질의에 …"
"17","정치","<포토>표정 굳은 정경두 장관·박한기 합참의장","데일리안","정경두 국방부 장관과 박한기 합동참모의장이 3일 오후 열린 국회 국방위원회 전체회의에서 북한 어선의 삼척항 입항 사건과 관련한  …"
"18","정치","국회 외통위 답변하는 김연철 장관","뉴스1","(서울=뉴스1) 이종덕 기자 = 김연철 통일부장관이 3일 오후 서울 여의도 국회 외교통일위원회 전체회의에 출석해 의원들의 질의에 …"
